epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.929,0.57293,2.54595,1.03361,0.83082,0.75412,0.8248,0.73898,0.43891,1.02239,0.92404,0.00332514,0.00332514,0.00332514
2,466.614,0.51896,0.89296,0.96658,0.81101,0.80405,0.85932,0.77486,0.47646,0.92209,0.92235,0.00659256,0.00659256,0.00659256
3,698.53,0.59617,0.87452,0.99773,0.836,0.80608,0.87349,0.76108,0.54701,0.75969,0.99094,0.00979397,0.00979397,0.00979397
4,929.858,0.63333,0.88144,1.012,0.86103,0.8107,0.88536,0.74678,0.56956,0.70194,0.99818,0.009703,0.009703,0.009703
5,1161.21,0.61623,0.78714,1.00592,0.90865,0.8915,0.92741,0.81903,0.48831,0.54626,0.95516,0.009604,0.009604,0.009604
6,1391.96,0.59218,0.71129,0.99233,0.84002,0.88572,0.93201,0.81973,0.50723,0.58155,0.96253,0.009505,0.009505,0.009505
7,1622.42,0.57742,0.67128,0.99132,0.92696,0.88562,0.95859,0.86308,0.4512,0.47658,0.92419,0.009406,0.009406,0.009406
8,1849.23,0.55254,0.62213,0.97613,0.92391,0.9096,0.95405,0.86107,0.44459,0.46766,0.92094,0.009307,0.009307,0.009307
9,2074.14,0.54156,0.58985,0.96953,0.92576,0.95749,0.97103,0.88537,0.42913,0.40623,0.91949,0.009208,0.009208,0.009208
10,2302.66,0.51397,0.55573,0.9571,0.91208,0.98514,0.98067,0.90537,0.40288,0.39368,0.89386,0.009109,0.009109,0.009109
11,2532.28,0.51221,0.53883,0.95561,0.96868,0.96504,0.99085,0.91436,0.39426,0.3594,0.88911,0.00901,0.00901,0.00901
12,2762.18,0.49467,0.51476,0.94381,0.97062,0.95852,0.98301,0.91329,0.39145,0.35604,0.8886,0.008911,0.008911,0.008911
13,2992.41,0.48621,0.49509,0.94445,0.96035,0.95356,0.98669,0.92341,0.38709,0.37665,0.8848,0.008812,0.008812,0.008812
14,3221.89,0.47723,0.4819,0.93911,0.94804,0.9686,0.98766,0.92024,0.37402,0.32219,0.88205,0.008713,0.008713,0.008713
15,3449.9,0.46133,0.45837,0.93476,0.97745,0.97291,0.99148,0.92703,0.37827,0.31047,0.8838,0.008614,0.008614,0.008614
16,3674.52,0.46401,0.45169,0.93797,0.95707,0.98214,0.98954,0.92959,0.36349,0.31971,0.87559,0.008515,0.008515,0.008515
17,3898.09,0.45485,0.44177,0.93315,0.97872,0.97876,0.99154,0.93597,0.36063,0.30415,0.87157,0.008416,0.008416,0.008416
18,4121.31,0.44734,0.43867,0.92768,0.95832,0.99375,0.99379,0.94272,0.35462,0.28607,0.86463,0.008317,0.008317,0.008317
19,4344.65,0.43765,0.41462,0.91696,0.95022,0.99373,0.98994,0.93421,0.34248,0.2866,0.855,0.008218,0.008218,0.008218
20,4568.06,0.43838,0.40915,0.92582,0.97366,0.98789,0.99061,0.93036,0.34957,0.29783,0.86283,0.008119,0.008119,0.008119
21,4792.38,0.43152,0.40051,0.92065,0.97238,0.98474,0.98594,0.9358,0.34078,0.3187,0.85842,0.00802,0.00802,0.00802
22,5016.51,0.42705,0.3914,0.91943,0.9691,0.9838,0.99344,0.94037,0.34283,0.27676,0.85605,0.007921,0.007921,0.007921
23,5240.6,0.42369,0.38384,0.91817,0.96616,0.9964,0.9946,0.94422,0.34521,0.26943,0.8596,0.007822,0.007822,0.007822
24,5464.72,0.41873,0.38456,0.91619,0.98419,0.99375,0.99363,0.94342,0.33855,0.26587,0.85981,0.007723,0.007723,0.007723
25,5689.1,0.41297,0.37246,0.91415,0.98433,0.98855,0.99058,0.94512,0.33782,0.23941,0.85105,0.007624,0.007624,0.007624
26,5912.78,0.41334,0.36798,0.91483,0.98079,0.99608,0.99398,0.94876,0.32663,0.25452,0.85117,0.007525,0.007525,0.007525
27,6137.12,0.40567,0.35987,0.91248,0.98276,0.98964,0.99353,0.9452,0.33362,0.23888,0.86016,0.007426,0.007426,0.007426
