               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051409,             0.01859,            0.076837,             0.72921,             0.11976,             0.15183,             0.10246,            0.028655,           0.0048508,            0.066886,            0.070074,           0.0033251,           0.0033251
                   1,            0.038793,            0.010148,            0.055571,             0.83772,              0.4321,             0.50278,             0.32276,            0.032533,            0.003383,            0.035657,            0.040008,           0.0065926,           0.0065926
                   2,            0.039054,           0.0079831,            0.032801,             0.78045,             0.61258,              0.6818,             0.45102,            0.029943,           0.0031986,            0.021138,           0.0098759,            0.009794,            0.009794
                   3,            0.034259,           0.0073556,            0.024874,             0.71613,             0.80332,             0.80722,             0.57765,            0.024728,            0.003006,            0.016984,            0.009703,            0.009703,            0.009703
                   4,             0.03049,           0.0069584,            0.019809,              0.7825,             0.86592,             0.87196,             0.67401,            0.021298,           0.0027054,            0.012304,            0.009703,            0.009703,            0.009703
                   5,            0.028667,           0.0067347,            0.016729,             0.84672,             0.90479,             0.89626,             0.68649,            0.019944,           0.0027281,            0.010852,            0.009604,            0.009604,            0.009604
                   6,            0.027151,           0.0064449,             0.01506,             0.85718,             0.91892,             0.91136,             0.71475,            0.019546,           0.0026933,           0.0095819,            0.009505,            0.009505,            0.009505
                   7,            0.025875,           0.0063332,            0.013208,             0.85768,             0.92637,             0.93165,             0.72476,            0.018777,           0.0025635,           0.0079602,            0.009406,            0.009406,            0.009406
                   8,            0.024862,           0.0061591,            0.012317,             0.89325,             0.93032,             0.93748,             0.73584,            0.017401,           0.0025583,           0.0069306,            0.009307,            0.009307,            0.009307
                   9,            0.024307,           0.0059963,            0.010385,             0.90048,             0.92258,             0.95892,             0.76827,            0.017013,           0.0024987,           0.0068601,            0.009208,            0.009208,            0.009208
                  10,            0.023269,           0.0059599,            0.009863,             0.94813,             0.92406,             0.95747,             0.78574,            0.017157,           0.0025056,            0.005911,            0.009109,            0.009109,            0.009109
                  11,            0.023016,            0.005695,           0.0095408,             0.95273,               0.938,             0.96389,             0.81786,            0.016242,           0.0023323,           0.0046067,             0.00901,             0.00901,             0.00901
                  12,            0.022251,           0.0055768,           0.0088249,             0.94854,             0.93699,             0.98109,              0.8166,            0.016105,           0.0023306,           0.0041159,            0.008911,            0.008911,            0.008911
                  13,            0.021558,           0.0056392,           0.0086436,             0.96891,               0.953,             0.97866,             0.81691,            0.015212,           0.0022749,           0.0039785,            0.008812,            0.008812,            0.008812
                  14,            0.021013,           0.0055393,           0.0076997,             0.90117,             0.98647,             0.98103,             0.85329,            0.014886,           0.0022395,           0.0035694,            0.008713,            0.008713,            0.008713
                  15,            0.020077,           0.0052914,           0.0074502,             0.91419,             0.98328,             0.98136,             0.84001,            0.014051,           0.0022519,           0.0036767,            0.008614,            0.008614,            0.008614
                  16,            0.020123,            0.005336,           0.0070203,             0.95342,             0.98385,             0.98405,             0.84355,            0.014203,           0.0020913,           0.0025782,            0.008515,            0.008515,            0.008515
                  17,            0.019571,           0.0052091,           0.0065033,              0.9176,             0.98326,               0.984,             0.85257,            0.013088,           0.0021053,            0.002913,            0.008416,            0.008416,            0.008416
                  18,            0.019087,           0.0050494,           0.0062125,             0.96095,              0.9842,             0.98706,             0.86378,            0.012165,           0.0020992,           0.0033495,            0.008317,            0.008317,            0.008317
                  19,            0.018731,           0.0050904,           0.0063002,             0.94962,               0.972,             0.98434,             0.85615,            0.012155,           0.0021058,           0.0028384,            0.008218,            0.008218,            0.008218
                  20,            0.018694,           0.0050436,           0.0058833,             0.98709,             0.98194,             0.98808,             0.87298,            0.011971,           0.0020896,           0.0024178,            0.008119,            0.008119,            0.008119
                  21,            0.018069,           0.0050338,           0.0056186,             0.98152,             0.99026,             0.99194,             0.87179,            0.011928,           0.0020411,           0.0023106,             0.00802,             0.00802,             0.00802
                  22,            0.017907,           0.0049095,           0.0054296,             0.98163,             0.98913,             0.99043,             0.88846,            0.011548,           0.0020256,           0.0024312,            0.007921,            0.007921,            0.007921
                  23,            0.017729,           0.0049113,           0.0054761,             0.96162,             0.98581,             0.98949,             0.87387,            0.011534,           0.0019733,           0.0024677,            0.007822,            0.007822,            0.007822
                  24,            0.017547,           0.0049551,           0.0052397,              0.9802,             0.98083,             0.99018,             0.88871,            0.010578,            0.001892,             0.00223,            0.007723,            0.007723,            0.007723
                  25,            0.016808,            0.004685,           0.0050152,             0.98046,             0.99139,             0.99272,             0.89474,            0.010896,           0.0018636,           0.0018758,            0.007624,            0.007624,            0.007624
                  26,             0.01689,           0.0047081,           0.0046956,             0.98183,              0.9741,             0.99335,             0.89454,            0.010266,           0.0019259,           0.0019592,            0.007525,            0.007525,            0.007525
                  27,            0.016423,           0.0045914,           0.0045649,             0.97694,             0.98663,             0.99278,             0.90283,            0.010074,           0.0018516,           0.0016943,            0.007426,            0.007426,            0.007426
                  28,            0.016322,           0.0046419,            0.004407,             0.96467,             0.99499,             0.99424,             0.88654,            0.010307,            0.001833,            0.001738,            0.007327,            0.007327,            0.007327
                  29,            0.016062,           0.0045585,           0.0042579,             0.98136,             0.99371,              0.9944,             0.90937,           0.0096853,           0.0018557,           0.0016015,            0.007228,            0.007228,            0.007228
                  30,            0.015978,           0.0045743,           0.0043993,             0.98725,             0.98748,             0.99354,             0.91599,           0.0098157,           0.0017851,           0.0016123,            0.007129,            0.007129,            0.007129
                  31,            0.015894,           0.0045097,           0.0044694,             0.96075,             0.98397,             0.97456,             0.88376,           0.0098627,           0.0017907,           0.0023386,             0.00703,             0.00703,             0.00703
                  32,             0.01554,            0.004546,           0.0046075,             0.98481,              0.9944,             0.99457,             0.91137,           0.0096335,           0.0018049,           0.0015809,            0.006931,            0.006931,            0.006931
                  33,            0.015497,           0.0044649,           0.0036925,              0.9836,             0.99524,             0.99466,             0.91376,           0.0096349,           0.0018152,              0.0016,            0.006832,            0.006832,            0.006832
